image,kind,image_label,image_score_p995,tp,fp,fn,tn,dice,iou,precision,recall
test/cut/009.png,cut,1,0.10941945761442184,1,409,76,49690,0.004106776180698152,0.00205761316872428,0.0024390243902439024,0.012987012987012988
test/cut/010.png,cut,1,0.1114521250128746,3,438,78,49657,0.011494252873563218,0.005780346820809248,0.006802721088435374,0.037037037037037035
test/cut/011.png,cut,1,0.1080489307641983,2,386,99,49689,0.0081799591002045,0.004106776180698152,0.005154639175257732,0.019801980198019802
test/cut/012.png,cut,1,0.10597561299800873,12,350,146,49668,0.046153846153846156,0.023622047244094488,0.03314917127071823,0.0759493670886076
test/cut/013.png,cut,1,0.09353187680244446,10,198,323,49645,0.036968576709796676,0.018832391713747645,0.04807692307692308,0.03003003003003003
test/cut/014.png,cut,1,0.09395190328359604,2,198,160,49816,0.011049723756906077,0.005555555555555556,0.01,0.012345679012345678
test/cut/015.png,cut,1,0.09554284065961838,2,223,180,49771,0.009828009828009828,0.0049382716049382715,0.008888888888888889,0.01098901098901099
test/cut/016.png,cut,1,0.09935745596885681,22,244,352,49558,0.06875,0.03559870550161812,0.08270676691729323,0.058823529411764705
test/cut/017.png,cut,1,0.11839666962623596,3,581,353,49239,0.006382978723404255,0.0032017075773745998,0.005136986301369863,0.008426966292134831
test/cut/018.png,cut,1,0.11754488199949265,51,484,798,48843,0.07369942196531792,0.03825956489122281,0.09532710280373832,0.06007067137809187
test/fold/000.png,fold,1,0.14344017207622528,166,680,279,49051,0.2571649883810999,0.14755555555555555,0.19621749408983452,0.37303370786516854
test/fold/001.png,fold,1,0.11897722631692886,7,603,435,49131,0.013307984790874524,0.0066985645933014355,0.011475409836065573,0.01583710407239819
test/fold/002.png,fold,1,0.11088669300079346,25,407,497,49247,0.05241090146750524,0.02691065662002153,0.05787037037037037,0.04789272030651341
test/fold/003.png,fold,1,0.11138486862182617,54,391,581,49150,0.1,0.05263157894736842,0.12134831460674157,0.08503937007874016
test/fold/004.png,fold,1,0.12476499378681183,240,358,1781,47797,0.18327605956471935,0.1008827238335435,0.4013377926421405,0.11875309252845126
test/fold/005.png,fold,1,0.11941184848546982,102,457,2051,47566,0.0752212389380531,0.03908045977011494,0.18246869409660108,0.04737575476079889
test/fold/006.png,fold,1,0.10135021060705185,22,260,964,48930,0.03470031545741325,0.01765650080256822,0.07801418439716312,0.02231237322515213
test/fold/007.png,fold,1,0.10545983910560608,48,290,2013,47825,0.040016673614005835,0.020416843896214378,0.14201183431952663,0.023289665211062592
test/fold/008.png,fold,1,0.09678971022367477,12,226,765,49173,0.023645320197044337,0.011964107676969093,0.05042016806722689,0.015444015444015444
test/fold/009.png,fold,1,0.10439320653676987,75,254,3365,46482,0.03979835500132661,0.020303194369247428,0.22796352583586627,0.02180232558139535
test/fold/010.png,fold,1,0.10756975412368774,32,355,1792,47997,0.028946178199909543,0.014685635612666361,0.082687338501292,0.017543859649122806
test/fold/011.png,fold,1,0.11831296980381012,56,416,584,49120,0.10071942446043165,0.05303030303030303,0.11864406779661017,0.0875
test/fold/012.png,fold,1,0.11051793396472931,62,373,780,48961,0.0971025841816758,0.05102880658436214,0.1425287356321839,0.07363420427553444
test/fold/013.png,fold,1,0.1132737249135971,54,372,368,49382,0.12735849056603774,0.06801007556675064,0.1267605633802817,0.12796208530805686
test/fold/014.png,fold,1,0.0989980697631836,52,215,783,49126,0.09437386569872959,0.049523809523809526,0.1947565543071161,0.06227544910179641
test/fold/015.png,fold,1,0.12427296489477158,237,338,1474,48127,0.2073490813648294,0.11566617862371889,0.4121739130434783,0.1385154880187025
test/fold/016.png,fold,1,0.1383248120546341,328,323,1347,48178,0.2820292347377472,0.16416416416416416,0.5038402457757296,0.19582089552238807
test/glue/000.png,glue,1,0.13219371438026428,213,357,634,48972,0.30063514467184194,0.17691029900332225,0.3736842105263158,0.2514757969303424
test/glue/001.png,glue,1,0.12848055362701416,15,776,384,49001,0.025210084033613446,0.01276595744680851,0.018963337547408345,0.03759398496240601
test/glue/002.png,glue,1,0.12866494059562683,59,723,193,49201,0.11411992263056092,0.06051282051282051,0.07544757033248081,0.23412698412698413
test/glue/003.png,glue,1,0.13655097782611847,189,744,694,48549,0.20814977973568283,0.11616472034419176,0.20257234726688103,0.21404303510758776
test/glue/004.png,glue,1,0.12567049264907837,0,744,82,49350,0.0,0.0,0.0,0.0
test/glue/005.png,glue,1,0.1177595853805542,157,324,580,49115,0.25779967159277506,0.14797360980207352,0.3264033264033264,0.2130257801899593
test/glue/006.png,glue,1,0.11072154343128204,73,324,299,49480,0.18985695708712613,0.10488505747126436,0.18387909319899245,0.19623655913978494
test/glue/007.png,glue,1,0.10740502923727036,32,345,211,49588,0.1032258064516129,0.05442176870748299,0.08488063660477453,0.13168724279835392
test/glue/008.png,glue,1,0.1105666235089302,74,345,317,49440,0.18271604938271604,0.10054347826086957,0.1766109785202864,0.18925831202046037
test/glue/009.png,glue,1,0.1082996279001236,5,382,174,49615,0.0176678445229682,0.008912655971479501,0.012919896640826873,0.027932960893854747
test/glue/010.png,glue,1,0.10980682820081711,4,400,150,49622,0.014336917562724014,0.007220216606498195,0.009900990099009901,0.025974025974025976
test/glue/011.png,glue,1,0.11488813161849976,36,408,91,49641,0.12609457092819615,0.06728971962616823,0.08108108108108109,0.28346456692913385
test/glue/012.png,glue,1,0.11026039719581604,18,381,289,49488,0.05099150141643059,0.02616279069767442,0.045112781954887216,0.05863192182410423
test/glue/013.png,glue,1,0.13365449011325836,225,413,574,48964,0.31315240083507306,0.18564356435643564,0.35266457680250785,0.2816020025031289
test/glue/014.png,glue,1,0.1126386970281601,89,328,153,49606,0.2701062215477997,0.156140350877193,0.21342925659472423,0.3677685950413223
test/glue/015.png,glue,1,0.11542274802923203,122,328,215,49511,0.31003811944091486,0.18345864661654135,0.27111111111111114,0.3620178041543027
test/glue/016.png,glue,1,0.10995832085609436,20,389,420,49347,0.04711425206124853,0.024125452352231604,0.0488997555012225,0.045454545454545456
test/glue/017.png,glue,1,0.12124724686145782,205,325,643,49003,0.29753265602322204,0.17476555839727195,0.3867924528301887,0.2417452830188679
test/glue/018.png,glue,1,0.11256709694862366,50,410,209,49507,0.13908205841446453,0.07473841554559044,0.10869565217391304,0.19305019305019305
test/good/000.png,good,0,0.09926803410053253,0,262,0,49914,0.0,0.0,0.0,
test/good/001.png,good,0,0.10012046992778778,0,279,0,49897,0.0,0.0,0.0,
test/good/002.png,good,0,0.11294206976890564,0,455,0,49721,0.0,0.0,0.0,
test/good/003.png,good,0,0.11064570397138596,0,439,0,49737,0.0,0.0,0.0,
test/good/004.png,good,0,0.11181586235761642,0,426,0,49750,0.0,0.0,0.0,
test/good/005.png,good,0,0.11210450530052185,0,446,0,49730,0.0,0.0,0.0,
test/good/006.png,good,0,0.1147543415427208,0,478,0,49698,0.0,0.0,0.0,
test/good/007.png,good,0,0.11634289473295212,0,502,0,49674,0.0,0.0,0.0,
test/good/008.png,good,0,0.11672715842723846,0,526,0,49650,0.0,0.0,0.0,
test/good/009.png,good,0,0.11562114208936691,0,512,0,49664,0.0,0.0,0.0,
test/good/010.png,good,0,0.10431483387947083,0,325,0,49851,0.0,0.0,0.0,
test/good/011.png,good,0,0.10419012606143951,0,334,0,49842,0.0,0.0,0.0,
test/good/012.png,good,0,0.10319434851408005,0,310,0,49866,0.0,0.0,0.0,
test/good/013.png,good,0,0.1058100238442421,0,356,0,49820,0.0,0.0,0.0,
test/good/014.png,good,0,0.10547942668199539,0,361,0,49815,0.0,0.0,0.0,
test/good/015.png,good,0,0.10679946839809418,0,350,0,49826,0.0,0.0,0.0,
test/good/016.png,good,0,0.10668840259313583,0,359,0,49817,0.0,0.0,0.0,
test/good/017.png,good,0,0.10775714367628098,0,383,0,49793,0.0,0.0,0.0,
test/good/018.png,good,0,0.10431377589702606,0,346,0,49830,0.0,0.0,0.0,
test/good/019.png,good,0,0.1067841425538063,0,357,0,49819,0.0,0.0,0.0,
test/good/020.png,good,0,0.10568911582231522,0,356,0,49820,0.0,0.0,0.0,
test/good/021.png,good,0,0.10739348828792572,0,368,0,49808,0.0,0.0,0.0,
test/good/022.png,good,0,0.12278319895267487,0,668,0,49508,0.0,0.0,0.0,
test/good/023.png,good,0,0.12429684400558472,0,767,0,49409,0.0,0.0,0.0,
test/good/024.png,good,0,0.12725064158439636,0,817,0,49359,0.0,0.0,0.0,
test/good/025.png,good,0,0.12499158084392548,0,736,0,49440,0.0,0.0,0.0,
test/good/026.png,good,0,0.09821471571922302,0,253,0,49923,0.0,0.0,0.0,
test/good/027.png,good,0,0.09831666201353073,0,255,0,49921,0.0,0.0,0.0,
test/good/028.png,good,0,0.09805040806531906,0,252,0,49924,0.0,0.0,0.0,
test/good/029.png,good,0,0.09774135798215866,0,249,0,49927,0.0,0.0,0.0,
test/good/030.png,good,0,0.09531105309724808,0,228,0,49948,0.0,0.0,0.0,
test/good/031.png,good,0,0.09539523720741272,0,223,0,49953,0.0,0.0,0.0,
test/poke/000.png,poke,1,0.0999530553817749,4,273,74,49825,0.022535211267605635,0.011396011396011397,0.01444043321299639,0.05128205128205128
test/poke/001.png,poke,1,0.09730001538991928,5,236,169,49766,0.024096385542168676,0.012195121951219513,0.02074688796680498,0.028735632183908046
test/poke/002.png,poke,1,0.10298551619052887,9,307,190,49670,0.03495145631067961,0.017786561264822136,0.028481012658227847,0.04522613065326633
test/poke/003.png,poke,1,0.09971486032009125,8,262,120,49786,0.04020100502512563,0.020512820512820513,0.02962962962962963,0.0625
test/poke/004.png,poke,1,0.1009373739361763,13,260,91,49812,0.06896551724137931,0.03571428571428571,0.047619047619047616,0.125
test/poke/005.png,poke,1,0.10321041941642761,40,270,52,49814,0.19900497512437812,0.11049723756906077,0.12903225806451613,0.43478260869565216
test/poke/006.png,poke,1,0.10897189378738403,42,327,104,49703,0.16310679611650486,0.08879492600422834,0.11382113821138211,0.2876712328767123
test/poke/007.png,poke,1,0.10587584227323532,21,347,92,49716,0.08731808731808732,0.04565217391304348,0.057065217391304345,0.18584070796460178
test/poke/008.png,poke,1,0.11374679207801819,29,442,73,49632,0.1012216404886562,0.05330882352941176,0.06157112526539278,0.28431372549019607
test/poke/009.png,poke,1,0.10883306711912155,32,373,127,49644,0.11347517730496454,0.06015037593984962,0.07901234567901234,0.20125786163522014
test/poke/010.png,poke,1,0.10563201457262039,11,336,99,49730,0.04814004376367615,0.02466367713004484,0.03170028818443804,0.1
test/poke/011.png,poke,1,0.10639230906963348,26,326,134,49690,0.1015625,0.053497942386831275,0.07386363636363637,0.1625
test/poke/012.png,poke,1,0.10975819826126099,28,377,163,49608,0.09395973154362416,0.04929577464788732,0.0691358024691358,0.14659685863874344
test/poke/013.png,poke,1,0.10582102090120316,0,342,114,49720,0.0,0.0,0.0,0.0
test/poke/014.png,poke,1,0.09398294240236282,1,187,107,49881,0.006756756756756757,0.003389830508474576,0.005319148936170213,0.009259259259259259
test/poke/015.png,poke,1,0.09547758847475052,24,202,58,49892,0.15584415584415584,0.08450704225352113,0.10619469026548672,0.2926829268292683
test/poke/016.png,poke,1,0.09820917993783951,6,252,131,49787,0.030379746835443037,0.015424164524421594,0.023255813953488372,0.043795620437956206
test/poke/017.png,poke,1,0.09553565084934235,2,217,81,49876,0.013245033112582781,0.006666666666666667,0.0091324200913242,0.024096385542168676
